horizon,lags,rmse,mae,forecast,actual
2,1,0.1281314351689177,0.0952205230800808,"['[\'[""[\\\'[np.float64(2.588470316341075), np.float64(2.5858098412383055)]\\\']"", \\\'[np.float64(2.588470316341075), np.float64(2.5858098412383055)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,2,0.1328356064947219,0.1121771323194205,"['[\'[""[\\\'[np.float64(2.4485457574409226), np.float64(2.393003658815058)]\\\']"", \\\'[np.float64(2.4485457574409226), np.float64(2.393003658815058)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,3,0.1127609682385344,0.0925260034337933,"['[\'[""[\\\'[np.float64(2.435588140645232), np.float64(2.4193482997906215)]\\\']"", \\\'[np.float64(2.435588140645232), np.float64(2.4193482997906215)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,4,0.1405072177807416,0.1019480551481628,"['[\'[""[\\\'[np.float64(2.40225498421027), np.float64(2.3776880169126233)]\\\']"", \\\'[np.float64(2.40225498421027), np.float64(2.3776880169126233)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,5,0.1501316814812027,0.1077591700911659,"['[\'[""[\\\'[np.float64(2.4042889047570655), np.float64(2.3640318664798214)]\\\']"", \\\'[np.float64(2.4042889047570655), np.float64(2.3640318664798214)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,6,0.1501417816345482,0.1077755369723418,"['[\'[""[\\\'[np.float64(2.404270171059025), np.float64(2.36401786641551)]\\\']"", \\\'[np.float64(2.404270171059025), np.float64(2.36401786641551)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,7,0.1314581433105073,0.1039700640784406,"['[\'[""[\\\'[np.float64(2.431038094286845), np.float64(2.39191013214294)]\\\']"", \\\'[np.float64(2.431038094286845), np.float64(2.39191013214294)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,8,0.1217531736756212,0.093985748584185,"['[\'[""[\\\'[np.float64(2.424100808104888), np.float64(2.404941476949494)]\\\']"", \\\'[np.float64(2.424100808104888), np.float64(2.404941476949494)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,9,0.1238841070078347,0.0947655980443651,"['[\'[""[\\\'[np.float64(2.422487132580636), np.float64(2.401768102504882)]\\\']"", \\\'[np.float64(2.422487132580636), np.float64(2.401768102504882)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,10,0.115827517448351,0.0967337100525729,"['[\'[""[\\\'[np.float64(2.4405400156729176), np.float64(2.415884761580748)]\\\']"", \\\'[np.float64(2.4405400156729176), np.float64(2.415884761580748)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,11,0.1281707541595483,0.0972637358328389,"['[\'[""[\\\'[np.float64(2.393721336313848), np.float64(2.395590303439693)]\\\']"", \\\'[np.float64(2.393721336313848), np.float64(2.395590303439693)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,12,0.0689283371147027,0.0595515784911981,"['[\'[""[\\\'[np.float64(2.432355900288474), np.float64(2.4820649093190537)]\\\']"", \\\'[np.float64(2.432355900288474), np.float64(2.4820649093190537)]\\\']\']']","['[\'[""[\\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
2,13,0.013518397932402,0.0107397383231886,"['[""[\'[np.float64(2.388563673271256), np.float64(2.5737959615015855)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
